iter	Passed	Remaining
882	2274	301
883	2275	298
884	2276	295
885	2277	292
886	2278	290
887	2280	287
888	2281	284
889	2282	282
890	2283	279
891	2284	276
892	2285	273
893	2285	271
894	2286	268
895	2287	265
896	2288	262
897	2289	260
898	2289	257
899	2290	254
900	2291	251
901	2292	249
902	2295	246
903	2296	243
904	2297	241
905	2297	238
906	2298	235
907	2299	232
908	2300	230
909	2301	227
910	2301	224
911	2302	222
912	2303	219
913	2304	216
914	2304	214
915	2305	211
916	2306	208
917	2307	206
918	2311	203
919	2311	201
920	2312	198
921	2313	195
922	2314	193
923	2315	190
924	2315	187
925	2316	185
926	2317	182
927	2318	179
928	2319	177
929	2319	174
930	2320	171
931	2321	169
932	2324	166
933	2325	164
934	2326	161
935	2327	159
936	2328	156
937	2329	154
938	2331	151
939	2331	148
940	2332	146
941	2333	143
942	2334	141
943	2335	138
944	2335	135
945	2337	133
946	2340	130
947	2341	128
948	2342	125
949	2343	123
950	2343	120
951	2344	118
952	2345	115
953	2346	113
954	2347	110
955	2348	108
956	2349	105
957	2350	103
958	2351	100
959	2352	98
960	2354	95
961	2355	93
962	2356	90
963	2357	88
964	2358	85
965	2359	83
966	2359	80
967	2360	78
968	2361	75
969	2362	73
970	2363	70
971	2363	68
972	2365	65
973	2366	63
974	2367	60
975	2369	58
976	2370	55
977	2371	53
978	2372	50
979	2373	48
980	2373	45
981	2374	43
982	2375	41
983	2376	38
984	2377	36
985	2377	33
986	2378	31
987	2380	28
988	2384	26
989	2385	24
990	2386	21
991	2387	19
992	2388	16
993	2389	14
994	2390	12
995	2391	9
996	2392	7
997	2393	4
998	2394	2
999	2395	0
